Customer Id	Customer Fname	Customer Lname	Customer Segment	Customer City	Customer Country	Customer State	Customer Street	Customer Zipcode
5197	Brenda	Jordan	Home Office	Caguas	Puerto Rico	 PR	4692 Jagged Thicket	725
1535	Frank	Livingston	Home Office	Caguas	Puerto Rico	 PR 	5161 Crystal Quail Jetty	725
6122	Johnny	Smith	Home Office	Caguas	Puerto Rico	 PR	1465 Round Fawn Passage	725
9451	Mary	Smith	Home Office	Caguas	Puerto Rico	 PR	5723 Cinder Loop	725
1840	Jerry	Smith	Consumer	Caguas	Puerto Rico	PR	427 Grand Branch Hill	725
6757	Mary	Freeman	Consumer	Caguas	Puerto Rico	PR	2035 Lazy Diversion	725
3972	Laura	Bennett	Consumer	Caguas	Puerto Rico	PR 	4520 Grand Port	725
9316	Megan	Sanders	Consumer	Caguas	Puerto Rico	 PR	7489 Green End	725
6757	Mary	Freeman	Consumer	Caguas	Puerto Rico	PR	2035 Lazy Diversion	725
11213	Mary	Black	Consumer	Caguas	Puerto Rico	PR	620 Thunder Creek Towers	725
3474	Jack	Hatfield	Consumer	Caguas	Puerto Rico	NY	555 Lazy Robin Freeway	725
9316	Megan	Sanders	Consumer	Caguas	Puerto Rico	 PR	7489 Green End	725
6246	Melissa	Ramirez	Consumer	Rome	EE. UU.	 TX	2459 Round Spring Towers	13440
8741	Gregory	Smith	Consumer	Vista	EE. UU.	WI	690 Colonial Pine Passage	92083
8050	Elizabeth	Smith	Consumer	Fort Worth	EE. UU.	TX	739 Jagged Goose Street	76106
8050	Elizabeth	Smith	Consumer	Fort Worth	EE. UU.	TX	739 Jagged Goose Street	76106
5474	Mary	Sanchez	Consumer	Fond Du Lac	EE. UU.	FL	29 Gentle Spring Mews	54935
474	Mary	Patton	Consumer	Philadelphia	EE. UU.	PA	5532 Tawny Pines	19139
12255	Mary	Davis	Consumer	Ontario	EE. UU.	HI	4502 Hazy Run	91764
10288	Mark	Smith	Consumer	Oviedo	EE. UU.	CA	6026 Stony Elk Hill	32765
4717	Mary	Sanders	Consumer	Buffalo	EE. UU.	NY	4903 Lazy Parkway	14221
4799	Paul	Jensen	Consumer	Honolulu	EE. UU.	HI	3902 Foggy Swale	96822
4533	Walter	Chavez	Consumer	Oceanside	EE. UU.	NY	990 Dewy Crest	92056
12383	Joyce	Phillips	Consumer	North Tonawanda	EE. UU.	IL	9899 Hazy Falls	14120
3518	Daniel	Smith	Consumer	Clovis	EE. UU.	MA	7449 Merry Chase	93611
